0.00000000, Started Game
22.49582000, Stopped Game
0.00000000, Started Game
47.68654000, Stopped Game
0.00000000, Started Game
10.59445000, Stopped Game
0.00000000, Started Game
63.75650000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, Cube
2.61981400, D_Obj, isSubmenuVisible, DoorWay
8.84217700, D_Obj, isSubmenuVisible, Cube
8.93128900, D_Obj, isSubmenuVisible, DoorWay
9.05387500, D_Obj, isSubmenuVisible, Cube.002
9.05387500, D_Obj, isSubmenuVisible, Cube.002
10.18220000, D_Obj, isSubmenuVisible, Cube.002
10.18220000, D_Obj, isSubmenuVisible, Cube.002
10.54091000, D_Obj, isSubmenuVisible, DoorWay
10.73724000, D_Obj, isSubmenuVisible, Cube
11.31877000, D_Obj, isSubmenuVisible, Cube
11.71205000, D_Obj, isSubmenuVisible, DoorWay
11.88976000, D_Obj, isSubmenuVisible, Cube.002
11.88976000, D_Obj, isSubmenuVisible, Cube.002
16.82981000, D_Obj, isSubmenuVisible, DoorWay
16.92822000, D_Obj, isSubmenuVisible, Cube
17.16388000, D_Obj, isSubmenuVisible, Cube.002
17.16388000, D_Obj, isSubmenuVisible, Cube.002
20.91645000, D_Obj, isSubmenuVisible, Cube
20.95380000, D_Obj, isSubmenuVisible, DoorWay
21.01660000, D_Obj, isSubmenuVisible, Cube.002
21.01660000, D_Obj, isSubmenuVisible, Cube.002
21.66543000, D_Obj, isSubmenuVisible, Cube.002
21.66543000, D_Obj, isSubmenuVisible, Cube.002
22.02245000, D_Obj, isSubmenuVisible, Cube.002
22.02245000, D_Obj, isSubmenuVisible, Cube.002
23.87435000, D_Obj, isSubmenuVisible, Cube
24.03167000, D_Obj, isSubmenuVisible, Cube.002
24.03167000, D_Obj, isSubmenuVisible, Cube.002
24.05390000, D_Obj, isSubmenuVisible, DoorWay
24.37875000, D_Obj, isSubmenuVisible, Cube
25.23006000, D_Obj, isSubmenuVisible, Cube
25.55013000, D_Obj, isSubmenuVisible, DoorWay
25.92062000, D_Obj, isSubmenuVisible, Cube
38.71017000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, Cube
4.58381700, D_Obj, isSubmenuVisible, DoorWay
5.18628300, D_Obj, isSubmenuVisible, Cube
6.90619400, D_Obj, isSubmenuVisible, DoorWay
7.53265900, D_Obj, isSubmenuVisible, Cube
7.72089700, D_Obj, isSubmenuVisible, DoorWay
12.52523000, D_Obj, isSubmenuVisible, Cube
12.59152000, D_Obj, isSubmenuVisible, DoorWay
12.70339000, D_Obj, isSubmenuVisible, Cube.002
12.70339000, D_Obj, isSubmenuVisible, Cube.002
16.10296000, D_Obj, isSubmenuVisible, DoorWay
16.19314000, D_Obj, isSubmenuVisible, Cube
18.31093000, D_Obj, isSubmenuVisible, Cube
18.66802000, D_Obj, isSubmenuVisible, DoorWay
22.66777000, D_Obj, isSubmenuVisible, DoorWay
22.84464000, D_Obj, isSubmenuVisible, DoorWay
24.57702000, D_Obj, isSubmenuVisible, DoorWay
24.88906000, D_Obj, isSubmenuVisible, Cube
25.11287000, D_Obj, isSubmenuVisible, Cube
26.90150000, D_Obj, isSubmenuVisible, DoorWay
30.45329000, D_Obj, isSubmenuVisible, Cube.002
30.45329000, D_Obj, isSubmenuVisible, Cube.002
36.94274000, D_Obj, isSubmenuVisible, DoorWay
37.13166000, D_Obj, isSubmenuVisible, Cube.002
37.13166000, D_Obj, isSubmenuVisible, Cube.002
37.37539000, D_Obj, isSubmenuVisible, DoorWay
37.94780000, D_Obj, isSubmenuVisible, DoorWay
38.01368000, D_Obj, isSubmenuVisible, Cube
38.67718000, D_Obj, isSubmenuVisible, Cube.002
38.67718000, D_Obj, isSubmenuVisible, Cube.002
38.92881000, D_Obj, isSubmenuVisible, Cube
40.53986000, D_Obj, isSubmenuVisible, DoorWay
40.62842000, D_Obj, isSubmenuVisible, Cube.002
40.62842000, D_Obj, isSubmenuVisible, Cube.002
41.77904000, D_Obj, isSubmenuVisible, Cube.002
41.77904000, D_Obj, isSubmenuVisible, Cube.002
42.02105000, D_Obj, isSubmenuVisible, DoorWay
44.52689000, D_Obj, isSubmenuVisible, DoorWay
44.70553000, D_Obj, isSubmenuVisible, Cube.002
44.70553000, D_Obj, isSubmenuVisible, Cube.002
44.96192000, D_Obj, isSubmenuVisible, Cube
46.09828000, D_Obj, isSubmenuVisible, Cube
48.43618000, D_Obj, isSubmenuVisible, Cube
50.51329000, D_Obj, isSubmenuVisible, Cube
53.49603000, D_Obj, isSubmenuVisible, Cube.002
53.49603000, D_Obj, isSubmenuVisible, Cube.002
53.59660000, D_Obj, isSubmenuVisible, DoorWay
53.75206000, D_Obj, isSubmenuVisible, Cube
54.66958000, D_Obj, isSubmenuVisible, Cube
56.13224000, D_Obj, isSubmenuVisible, Cube
56.53074000, D_Obj, isSubmenuVisible, DoorWay
61.14774000, D_Obj, isSubmenuVisible, DoorWay
61.62843000, D_Obj, isSubmenuVisible, Cube
62.32062000, D_Obj, isSubmenuVisible, Cube
62.70909000, D_Obj, isSubmenuVisible, DoorWay
63.10233000, D_Obj, isSubmenuVisible, DoorWay
63.36898000, D_Obj, isSubmenuVisible, Cube
64.44308000, D_Obj, isSubmenuVisible, Cube
64.64150000, D_Obj, isSubmenuVisible, Cube
65.60386000, D_Obj, isSubmenuVisible, DoorWay
65.88360000, D_Obj, isSubmenuVisible, DoorWay
66.44144000, D_Obj, isSubmenuVisible, DoorWay
67.10113000, D_Obj, isSubmenuVisible, Cube.002
67.10113000, D_Obj, isSubmenuVisible, Cube.002
67.38950000, D_Obj, isSubmenuVisible, Cube.002
67.38950000, D_Obj, isSubmenuVisible, Cube.002
68.31915000, D_Obj, isSubmenuVisible, Cube.002
68.31915000, D_Obj, isSubmenuVisible, Cube.002
68.52731000, D_Obj, isSubmenuVisible, Cube
70.70922000, D_Obj, isSubmenuVisible, Cube.002
70.70922000, D_Obj, isSubmenuVisible, Cube.002
71.00062000, D_Obj, isSubmenuVisible, DoorWay
71.80347000, D_Obj, isSubmenuVisible, DoorWay
71.81482000, D_Obj, isSubmenuVisible, DoorWay
71.98008000, D_Obj, isSubmenuVisible, DoorWay
72.36237000, D_Obj, isSubmenuVisible, DoorWay
72.76382000, D_Obj, isSubmenuVisible, Cube
74.14767000, D_Obj, isSubmenuVisible, DoorWay
75.08775000, D_Obj, isSubmenuVisible, Cube.002
75.08775000, D_Obj, isSubmenuVisible, Cube.002
75.30769000, D_Obj, isSubmenuVisible, Cube.002
75.30769000, D_Obj, isSubmenuVisible, Cube.002
75.57703000, D_Obj, isSubmenuVisible, Cube.002
75.57703000, D_Obj, isSubmenuVisible, Cube.002
76.52872000, D_Obj, isSubmenuVisible, Cube.002
76.52872000, D_Obj, isSubmenuVisible, Cube.002
76.99638000, D_Obj, isSubmenuVisible, DoorWay
79.95645000, D_Obj, isSubmenuVisible, Cube
80.66087000, D_Obj, isSubmenuVisible, Cube
81.35313000, D_Obj, isSubmenuVisible, Cube
81.40773000, D_Obj, isSubmenuVisible, Cube
81.95716000, D_Obj, isSubmenuVisible, Cube
82.29071000, D_Obj, isSubmenuVisible, Cube
83.82032000, D_Obj, isSubmenuVisible, DoorWay
84.16978000, D_Obj, isSubmenuVisible, DoorWay
86.62627000, D_Obj, isSubmenuVisible, DoorWay
87.14026000, D_Obj, isSubmenuVisible, DoorWay
87.59612000, D_Obj, isSubmenuVisible, Cube
88.30169000, D_Obj, isSubmenuVisible, Cube
88.79236000, D_Obj, isSubmenuVisible, Cube
89.09112000, D_Obj, isSubmenuVisible, DoorWay
93.52282000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, Cube
4.52001500, D_Obj, isSubmenuVisible, DoorWay
4.92390200, D_Obj, isSubmenuVisible, Cube
5.17715200, D_Obj, isSubmenuVisible, DoorWay
6.34134100, D_Obj, isSubmenuVisible, Cube
6.71826700, D_Obj, isSubmenuVisible, DoorWay
10.65553000, D_Obj, isSubmenuVisible, Cube
10.84032000, D_Obj, isSubmenuVisible, DoorWay
11.03031000, D_Obj, isSubmenuVisible, Cube.002
11.03031000, D_Obj, isSubmenuVisible, Cube.002
12.32482000, D_Obj, isSubmenuVisible, Cube.002
12.32482000, D_Obj, isSubmenuVisible, Cube.002
12.52830000, D_Obj, isSubmenuVisible, DoorWay
12.72911000, D_Obj, isSubmenuVisible, Cube
13.91470000, D_Obj, isSubmenuVisible, Cube
14.05863000, D_Obj, isSubmenuVisible, DoorWay
14.23630000, D_Obj, isSubmenuVisible, Cube.002
14.23630000, D_Obj, isSubmenuVisible, Cube.002
17.02978000, D_Obj, isSubmenuVisible, Cylinder
17.07424000, D_Obj, isSubmenuVisible, DoorWay
17.11426000, D_Obj, isSubmenuVisible, Cube
17.13635000, D_Obj, isSubmenuVisible, Cube.002
17.13635000, D_Obj, isSubmenuVisible, Cube.002
18.11820000, D_Obj, isSubmenuVisible, Cylinder
18.11820000, D_Obj, isSubmenuVisible, Cylinder
19.31984000, D_Obj, isSubmenuVisible, Cylinder
20.60365000, D_Obj, isSubmenuVisible, Cube
20.90494000, D_Obj, isSubmenuVisible, DoorWay
20.95021000, D_Obj, isSubmenuVisible, Cube.002
20.95021000, D_Obj, isSubmenuVisible, Cube.002
21.72165000, D_Obj, isSubmenuVisible, Cylinder
22.39485000, D_Obj, isSubmenuVisible, Cylinder
22.39485000, D_Obj, isSubmenuVisible, Cylinder
22.52307000, D_Obj, isSubmenuVisible, DoorWay
22.55977000, D_Obj, isSubmenuVisible, Cube.002
22.55977000, D_Obj, isSubmenuVisible, Cube.002
22.60144000, D_Obj, isSubmenuVisible, Cube
23.38592000, D_Obj, isSubmenuVisible, Cylinder
24.18779000, D_Obj, isSubmenuVisible, Cube
24.26646000, D_Obj, isSubmenuVisible, Cube.002
24.26646000, D_Obj, isSubmenuVisible, Cube.002
24.28889000, D_Obj, isSubmenuVisible, DoorWay
29.66363000, D_Obj, isSubmenuVisible, Cylinder
30.92788000, D_Obj, isSubmenuVisible, Cylinder
30.92788000, D_Obj, isSubmenuVisible, Cylinder
31.96454000, D_Obj, isSubmenuVisible, Cylinder
41.63844000, D_Obj, isSubmenuVisible, Cylinder
42.71344000, D_Obj, isSubmenuVisible, Cylinder
42.71344000, D_Obj, isSubmenuVisible, Cylinder
43.72905000, D_Obj, isSubmenuVisible, Cylinder
55.83165000, D_Obj, isSubmenuVisible, DoorWay
55.84629000, D_Obj, isSubmenuVisible, Cube.002
55.84629000, D_Obj, isSubmenuVisible, Cube.002
55.89900000, D_Obj, isSubmenuVisible, Cube
56.70611000, D_Obj, isSubmenuVisible, Cube
56.98455000, D_Obj, isSubmenuVisible, DoorWay
58.61568000, D_Obj, isSubmenuVisible, DoorWay
59.36470000, D_Obj, isSubmenuVisible, Cube
60.32295000, D_Obj, isSubmenuVisible, Cube
61.49704000, D_Obj, isSubmenuVisible, DoorWay
61.54184000, D_Obj, isSubmenuVisible, Cube.002
61.54184000, D_Obj, isSubmenuVisible, Cube.002
63.02726000, D_Obj, isSubmenuVisible, DoorWay
63.05029000, D_Obj, isSubmenuVisible, Cube.002
63.05029000, D_Obj, isSubmenuVisible, Cube.002
63.08212000, D_Obj, isSubmenuVisible, Cube
63.42936000, D_Obj, isSubmenuVisible, Cylinder
64.38492000, D_Obj, isSubmenuVisible, Cylinder
64.38492000, D_Obj, isSubmenuVisible, Cylinder
65.12622000, D_Obj, isSubmenuVisible, Cube
65.20341000, D_Obj, isSubmenuVisible, DoorWay
65.20341000, D_Obj, isSubmenuVisible, Cube.002
65.20341000, D_Obj, isSubmenuVisible, Cube.002
65.28137000, D_Obj, isSubmenuVisible, Cylinder
66.46871000, D_Obj, isSubmenuVisible, Cylinder
66.49890000, D_Obj, isSubmenuVisible, DoorWay
66.51364000, D_Obj, isSubmenuVisible, Cube.002
66.51364000, D_Obj, isSubmenuVisible, Cube.002
66.53344000, D_Obj, isSubmenuVisible, Cube
67.89646000, D_Obj, isSubmenuVisible, Cube
67.94101000, D_Obj, isSubmenuVisible, DoorWay
67.94101000, D_Obj, isSubmenuVisible, Cube.002
67.94101000, D_Obj, isSubmenuVisible, Cube.002
67.98727000, D_Obj, isSubmenuVisible, Cylinder
69.11623000, D_Obj, isSubmenuVisible, Cylinder
69.13871000, D_Obj, isSubmenuVisible, DoorWay
69.16953000, D_Obj, isSubmenuVisible, Cube.002
69.16953000, D_Obj, isSubmenuVisible, Cube.002
69.16953000, D_Obj, isSubmenuVisible, Cube
70.22181000, D_Obj, isSubmenuVisible, Cylinder
72.28693000, D_Obj, isSubmenuVisible, Cube
72.83451000, D_Obj, isSubmenuVisible, DoorWay
73.10299000, D_Obj, isSubmenuVisible, Cube
73.71790000, D_Obj, isSubmenuVisible, Cube
74.29617000, D_Obj, isSubmenuVisible, Cube
74.64220000, D_Obj, isSubmenuVisible, Cube
118.51980000, Stopped Game
0.00000000, Started Game
3.64422100, D_Obj, isSubmenuInvisible, waitingRoomTutorial
3.79885800, D_Obj, isSubmenuInvisible, waitingRoomTutorial
9.33946700, D_Obj, isSubmenuInvisible, waitingRoomTutorial
9.41741200, D_Obj, isSubmenuInvisible, waitingRoomTutorial
10.94736000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
10.94736000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
12.12002000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
16.80399000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
16.80399000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
17.56095000, D_Obj, isSubmenuInvisible, topLevelMenu
18.29237000, D_Obj, isSubmenuInvisible, submenu_Animals
19.13099000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
19.18518000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
19.28462000, D_Obj, isSubmenuInvisible, Ob_caterpiller(Clone)
20.73280000, D_Obj, isSubmenuInvisible, topLevelMenu
21.81293000, D_Obj, isSubmenuInvisible, submenu_Animals
22.04683000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
22.04683000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
24.12455000, D_Obj, isSubmenuInvisible, submenu_Animals
27.23857000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
27.23857000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
28.97202000, D_Obj, isSubmenuInvisible, Ob_caterpiller(Clone)
29.00605000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
29.72849000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
29.72849000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
31.00389000, D_Obj, isSubmenuInvisible, Ob_NOVELO_TURTLE(Clone)
32.23265000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
32.30954000, D_Obj, isSubmenuInvisible, Ob_caterpiller(Clone)
32.33214000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
34.20842000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
34.20842000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
36.57790000, D_Obj, isSubmenuInvisible, Ob_caterpiller(Clone)
37.02347000, D_Obj, isSubmenuInvisible, Ob_NOVELO_TURTLE(Clone)
37.34870000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
37.41560000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
37.71440000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
41.58661000, Stopped Game
0.00000000, Started Game
0.02000000, D_Obj, isSubmenuVisible, waitingRoomTutorial
4.58329800, D_Obj, isSubmenuVisible, waitingRoomTutorial
5.08472300, D_Obj, isSubmenuInvisible, waitingRoomTutorial
7.54135500, D_Obj, isSubmenuInvisible, waitingRoomTutorial
7.80853300, D_Obj, isSubmenuVisible, waitingRoomTutorial
8.35765400, D_Obj, isSubmenuVisible, waitingRoomTutorial
12.66840000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
12.78038000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
12.91368000, D_Obj, isSubmenuVisible, waitingRoomTutorial
12.91368000, D_Obj, isSubmenuVisible, waitingRoomTutorial
14.42335000, D_Obj, isSubmenuVisible, waitingRoomTutorial
14.48763000, D_Obj, isSubmenuVisible, waitingRoomTutorial
14.58896000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
14.58896000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
14.82288000, D_Obj, isSubmenuVisible, waitingRoomTutorial
14.82288000, D_Obj, isSubmenuVisible, waitingRoomTutorial
15.32621000, D_Obj, isSubmenuVisible, topLevelMenu
15.93522000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
15.93522000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
16.13605000, D_Obj, isSubmenuInvisible, topLevelMenu
16.13605000, D_Obj, isSubmenuVisible, submenu_Animals
16.90303000, D_Obj, isSubmenuInvisible, submenu_Animals
17.06946000, D_Obj, isSubmenuVisible, waitingRoomTutorial
17.06946000, D_Obj, isSubmenuVisible, waitingRoomTutorial
26.67587000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
26.67587000, D_Obj, isSubmenuInvisible, waitingRoomTutorial
27.13433000, D_Obj, isSubmenuVisible, waitingRoomTutorial
